cod_cli,rag_soc,cod_prov
10640,CLIENTE 10640,BL
10646,CLIENTE 10646,TV
10659,CLIENTE 10659,PN
10666,CLIENTE 10666,PN
10701,CLIENTE 10701,PN
10705,CLIENTE 10705,PN
10707,CLIENTE 10707,PN
10716,CLIENTE 10716,PN
10719,CLIENTE 10719,PN
10725,CLIENTE 10725,PN
10733,CLIENTE 10733,PN
10734,CLIENTE 10734,PN
10765,CLIENTE 10765,PN
10767,CLIENTE 10767,PN
10773,CLIENTE 10773,PN
10779,CLIENTE 10779,PN
10786,CLIENTE 10786,PN
10803,CLIENTE 10803,PN
10808,CLIENTE 10808,PN
10824,CLIENTE 10824,PN
10828,CLIENTE 10828,PN
10848,CLIENTE 10848,PN
10853,CLIENTE 10853,PN
10860,CLIENTE 10860,VE
10871,CLIENTE 10871,PN
10888,CLIENTE 10888,PN
10892,CLIENTE 10892,PN
10896,CLIENTE 10896,PN
10899,CLIENTE 10899,UD
10907,CLIENTE 10907,PN
10910,CLIENTE 10910,PN
10975,CLIENTE 10975,TV
10992,CLIENTE 10992,UD
11002,CLIENTE 11002,PN
11023,CLIENTE 11023,PN
11047,CLIENTE 11047,PN
11052,CLIENTE 11052,PN
11053,CLIENTE 11053,PN
11056,CLIENTE 11056,PN
11059,CLIENTE 11059,PN
11060,CLIENTE 11060,PN
11062,CLIENTE 11062,PN
11072,CLIENTE 11072,PN
11096,CLIENTE 11096,PN
11107,CLIENTE 11107,PN
11112,CLIENTE 11112,UD
11138,CLIENTE 11138,PN
11156,CLIENTE 11156,PN
11190,CLIENTE 11190,PN
11200,CLIENTE 11200,PN
11225,CLIENTE 11225,PN
11245,CLIENTE 11245,PN
11314,CLIENTE 11314,TV
11317,CLIENTE 11317,PN
11319,CLIENTE 11319,PN
11330,CLIENTE 11330,PN
11339,CLIENTE 11339,PN
11343,CLIENTE 11343,UD
11345,CLIENTE 11345,TV
11350,CLIENTE 11350,PN
11352,CLIENTE 11352,TV
11392,CLIENTE 11392,PN
11394,CLIENTE 11394,PN
11412,CLIENTE 11412,PN
11413,CLIENTE 11413,PN
11421,CLIENTE 11421,PN
11488,CLIENTE 11488,BL
11495,CLIENTE 11495,PN
11558,CLIENTE 11558,PN
11598,CLIENTE 11598,PN
11624,CLIENTE 11624,PN
11625,CLIENTE 11625,PN
11626,CLIENTE 11626,PN
11631,CLIENTE 11631,TV
11643,CLIENTE 11643,UD
11646,CLIENTE 11646,PN
11649,CLIENTE 11649,PN
11671,CLIENTE 11671,PN
11682,CLIENTE 11682,PN
11692,CLIENTE 11692,PN
11694,CLIENTE 11694,PN
11718,CLIENTE 11718,PN
11729,CLIENTE 11729,PN
11733,CLIENTE 11733,PN
11736,CLIENTE 11736,PN
11760,CLIENTE 11760,PN
11779,CLIENTE 11779,PN
11804,CLIENTE 11804,PN
11850,CLIENTE 11850,PN
11851,CLIENTE 11851,PN
11859,CLIENTE 11859,PN
11891,CLIENTE 11891,PN
12017,CLIENTE 12017,PN
12033,CLIENTE 12033,PN
12035,CLIENTE 12035,PN
12046,CLIENTE 12046,PN
12060,CLIENTE 12060,PN
12065,CLIENTE 12065,PN
12108,CLIENTE 12108,PN
12128,CLIENTE 12128,PN
12152,CLIENTE 12152,PN
12166,CLIENTE 12166,PN
12168,CLIENTE 12168,PN
12181,CLIENTE 12181,PN
12182,CLIENTE 12182,PN
12198,CLIENTE 12198,PN
12206,CLIENTE 12206,PN
12212,CLIENTE 12212,PN
12223,CLIENTE 12223,PN
12228,CLIENTE 12228,PN
12235,CLIENTE 12235,VE
12241,CLIENTE 12241,PN
12242,CLIENTE 12242,PN
12250,CLIENTE 12250,PN
12252,CLIENTE 12252,PN
12254,CLIENTE 12254,PN
12256,CLIENTE 12256,PN
12257,CLIENTE 12257,TV
12308,CLIENTE 12308,PN
12335,CLIENTE 12335,PN
12338,CLIENTE 12338,PN
12357,CLIENTE 12357,PN
12358,CLIENTE 12358,MI
12365,CLIENTE 12365,PN
12395,CLIENTE 12395,PN
12418,CLIENTE 12418,PN
12445,CLIENTE 12445,RM
12462,CLIENTE 12462,PN
12470,CLIENTE 12470,PN
12493,CLIENTE 12493,PN
12510,CLIENTE 12510,PN
12561,CLIENTE 12561,PN
12671,CLIENTE 12671,PN
12679,CLIENTE 12679,PN
12715,CLIENTE 12715,PN
12726,CLIENTE 12726,PN
12754,CLIENTE 12754,PN
12767,CLIENTE 12767,PN
12777,CLIENTE 12777,PN
12778,CLIENTE 12778,PN
12803,CLIENTE 12803,PN
12829,CLIENTE 12829,PN
12841,CLIENTE 12841,PN
12997,CLIENTE 12997,PN
12998,CLIENTE 12998,PN
13002,CLIENTE 13002,UD
13011,CLIENTE 13011,PN
13029,CLIENTE 13029,PN
13107,CLIENTE 13107,PN
13118,CLIENTE 13118,PN
13119,CLIENTE 13119,PN
13129,CLIENTE 13129,PN
13143,CLIENTE 13143,PN
13153,CLIENTE 13153,PN
13172,CLIENTE 13172,PN
13251,CLIENTE 13251,PN
13284,CLIENTE 13284,PN
13285,CLIENTE 13285,PN
13296,CLIENTE 13296,PN
13299,CLIENTE 13299,PN
13304,CLIENTE 13304,PN
13341,CLIENTE 13341,PN
13344,CLIENTE 13344,PN
13375,CLIENTE 13375,PN
13376,CLIENTE 13376,PN
13377,CLIENTE 13377,UD
13378,CLIENTE 13378,PN
13380,CLIENTE 13380,PN
13424,CLIENTE 13424,PN
13425,CLIENTE 13425,PN
13436,CLIENTE 13436,PN
13455,CLIENTE 13455,PN
13458,CLIENTE 13458,TV
13501,CLIENTE 13501,PN
13599,CLIENTE 13599,TV
13629,CLIENTE 13629,PN
13691,CLIENTE 13691,PN
13699,CLIENTE 13699,TV
13749,CLIENTE 13749,TV
13985,CLIENTE 13985,TV
13996,CLIENTE 13996,PN
13997,CLIENTE 13997,PN
14003,CLIENTE 14003,TV
14005,CLIENTE 14005,PN
14006,CLIENTE 14006,PN
14032,CLIENTE 14032,PN
14328,CLIENTE 14328,PN
14463,CLIENTE 14463,PN
14495,CLIENTE 14495,PN
14504,CLIENTE 14504,TV
14717,CLIENTE 14717,PN
14721,CLIENTE 14721,PN
14722,CLIENTE 14722,PN
14743,CLIENTE 14743,PN
14744,CLIENTE 14744,UD
14745,CLIENTE 14745,UD
14753,CLIENTE 14753,TS
14770,CLIENTE 14770,PN
14781,CLIENTE 14781,PN
14788,CLIENTE 14788,PN
14884,CLIENTE 14884,PN
14906,CLIENTE 14906,PN
14998,CLIENTE 14998,PN
15008,CLIENTE 15008,PN
15015,CLIENTE 15015,PN
15020,CLIENTE 15020,PN
15026,CLIENTE 15026,PN
15033,CLIENTE 15033,TV
15057,CLIENTE 15057,PN
15065,CLIENTE 15065,PN
15067,CLIENTE 15067,TV
15083,CLIENTE 15083,PN
15086,CLIENTE 15086,PN
15096,CLIENTE 15096,PN
15119,CLIENTE 15119,PN
15131,CLIENTE 15131,PN
15137,CLIENTE 15137,TV
15141,CLIENTE 15141,PN
15149,CLIENTE 15149,PN
15162,CLIENTE 15162,PN
15210,CLIENTE 15210,PN
15224,CLIENTE 15224,PN
15228,CLIENTE 15228,TV
15253,CLIENTE 15253,PN
15263,CLIENTE 15263,PN
15282,CLIENTE 15282,TV
15284,CLIENTE 15284,PN
15301,CLIENTE 15301,PN
15412,CLIENTE 15412,PN
15422,CLIENTE 15422,PN
15441,CLIENTE 15441,PN
15605,CLIENTE 15605,PN
15620,CLIENTE 15620,PN
15622,CLIENTE 15622,PN
15624,CLIENTE 15624,PN
15707,CLIENTE 15707,PN
15743,CLIENTE 15743,PN
15749,CLIENTE 15749,TV
15771,CLIENTE 15771,TV
15775,CLIENTE 15775,PN
15776,CLIENTE 15776,PN
15798,CLIENTE 15798,TV
15855,CLIENTE 15855,PN
15856,CLIENTE 15856,PN
15884,CLIENTE 15884,TV
16041,CLIENTE 16041,PN
16042,CLIENTE 16042,PN
16045,CLIENTE 16045,PN
16050,CLIENTE 16050,PN
16079,CLIENTE 16079,PN
16084,CLIENTE 16084,PN
16089,CLIENTE 16089,PN
16090,CLIENTE 16090,PN
16100,CLIENTE 16100,PN
16117,CLIENTE 16117,PN
16129,CLIENTE 16129,PN
16138,CLIENTE 16138,PN
16139,CLIENTE 16139,PN
16144,CLIENTE 16144,PN
16150,CLIENTE 16150,PN
16224,CLIENTE 16224,PN
16275,CLIENTE 16275,PN
16280,CLIENTE 16280,PN
16284,CLIENTE 16284,PN
16288,CLIENTE 16288,PN
16289,CLIENTE 16289,PN
16290,CLIENTE 16290,PN
16299,CLIENTE 16299,PN
16300,CLIENTE 16300,PN
16301,CLIENTE 16301,PN
16303,CLIENTE 16303,TV
16304,CLIENTE 16304,PN
16424,CLIENTE 16424,PN
16433,CLIENTE 16433,TV
16449,CLIENTE 16449,PN
16451,CLIENTE 16451,PN
16504,CLIENTE 16504,PN
16541,CLIENTE 16541,PN
16547,CLIENTE 16547,PN
16604,CLIENTE 16604,PN
16612,CLIENTE 16612,PN
16704,CLIENTE 16704,PN
16712,CLIENTE 16712,PN
16741,CLIENTE 16741,PN
16754,CLIENTE 16754,PN
16770,CLIENTE 16770,PN
16880,CLIENTE 16880,PN
16931,CLIENTE 16931,PN
16958,CLIENTE 16958,TV
16985,CLIENTE 16985,PN
16997,CLIENTE 16997,PN
17004,CLIENTE 17004,PN
17058,CLIENTE 17058,PN
17277,CLIENTE 17277,PN
17331,CLIENTE 17331,PN
17412,CLIENTE 17412,PN
17421,CLIENTE 17421,PN
17450,CLIENTE 17450,PN
17465,CLIENTE 17465,TV
17502,CLIENTE 17502,TV
17504,CLIENTE 17504,.
17521,CLIENTE 17521,PN
17551,CLIENTE 17551,PN
17561,CLIENTE 17561,PN
17602,CLIENTE 17602,PN
17609,CLIENTE 17609,PN
17611,CLIENTE 17611,PN
17621,CLIENTE 17621,PN
17629,CLIENTE 17629,UD
17635,CLIENTE 17635,PN
17636,CLIENTE 17636,PN
17640,CLIENTE 17640,TS
17651,CLIENTE 17651,PN
17654,CLIENTE 17654,PN
17662,CLIENTE 17662,PN
17664,CLIENTE 17664,PN
17665,CLIENTE 17665,VE
17745,CLIENTE 17745,TV
17841,CLIENTE 17841,PN
17850,CLIENTE 17850,TV
17854,CLIENTE 17854,PN
17894,CLIENTE 17894,PN
17961,CLIENTE 17961,PN
17985,CLIENTE 17985,TV
18002,CLIENTE 18002,PN
18012,CLIENTE 18012,PN
18115,CLIENTE 18115,PN
18145,CLIENTE 18145,VE
18154,CLIENTE 18154,PN
18157,CLIENTE 18157,PN
18158,CLIENTE 18158,PN
18221,CLIENTE 18221,PN
18301,CLIENTE 18301,PN
