cod_cli,rag_soc,cod_prov
28049,CLIENTE 28049,PN
28050,CLIENTE 28050,PN
28053,CLIENTE 28053,PN
28113,CLIENTE 28113,PN
28119,CLIENTE 28119,TV
28133,CLIENTE 28133,PN
28143,CLIENTE 28143,PN
28147,CLIENTE 28147,PN
28162,CLIENTE 28162,PN
28175,CLIENTE 28175,PN
28188,CLIENTE 28188,PN
28205,CLIENTE 28205,PN
28213,CLIENTE 28213,PN
28224,CLIENTE 28224,PN
28252,CLIENTE 28252,PN
28266,CLIENTE 28266,PN
28276,CLIENTE 28276,PN
28279,CLIENTE 28279,PN
28384,CLIENTE 28384,PN
28426,CLIENTE 28426,PN
28438,CLIENTE 28438,PN
28441,CLIENTE 28441,PN
28456,CLIENTE 28456,PN
28506,CLIENTE 28506,PN
28521,CLIENTE 28521,PN
28551,CLIENTE 28551,PN
28644,CLIENTE 28644,PN
28667,CLIENTE 28667,PN
28671,CLIENTE 28671,PN
28773,CLIENTE 28773,PN
28792,CLIENTE 28792,PN
28801,CLIENTE 28801,VE
28832,CLIENTE 28832,PN
28842,CLIENTE 28842,PN
28852,CLIENTE 28852,PN
28876,CLIENTE 28876,PN
28894,CLIENTE 28894,PN
28971,CLIENTE 28971,PN
29004,CLIENTE 29004,PN
29005,CLIENTE 29005,PN
29006,CLIENTE 29006,PN
29007,CLIENTE 29007,UD
29134,CLIENTE 29134,PN
29139,CLIENTE 29139,PN
29200,CLIENTE 29200,PN
29257,CLIENTE 29257,PN
29283,CLIENTE 29283,PN
29301,CLIENTE 29301,PN
29561,CLIENTE 29561,VE
29634,CLIENTE 29634,PN
29664,CLIENTE 29664,PN
29704,CLIENTE 29704,PN
29713,CLIENTE 29713,PN
29720,CLIENTE 29720,PN
29766,CLIENTE 29766,TV
29772,CLIENTE 29772,PN
29774,CLIENTE 29774,PN
29780,CLIENTE 29780,UD
29864,CLIENTE 29864,PN
29877,CLIENTE 29877,PN
29991,CLIENTE 29991,PN
30008,CLIENTE 30008,UD
30014,CLIENTE 30014,PN
30015,CLIENTE 30015,PN
30016,CLIENTE 30016,PN
30123,CLIENTE 30123,PN
30165,CLIENTE 30165,PN
30567,CLIENTE 30567,PN
30604,CLIENTE 30604,PN
30717,CLIENTE 30717,PN
31009,CLIENTE 31009,PN
31119,CLIENTE 31119,PN
31126,CLIENTE 31126,PN
31204,CLIENTE 31204,PN
31296,CLIENTE 31296,PN
31333,CLIENTE 31333,PN
31404,CLIENTE 31404,PN
31449,CLIENTE 31449,PN
31452,CLIENTE 31452,UD
31503,CLIENTE 31503,PN
31608,CLIENTE 31608,PN
32010,CLIENTE 32010,PN
32301,CLIENTE 32301,TV
32501,CLIENTE 32501,PN
32541,CLIENTE 32541,PN
32602,CLIENTE 32602,TV
32608,CLIENTE 32608,PN
32609,CLIENTE 32609,PN
32662,CLIENTE 32662,PN
32698,CLIENTE 32698,PN
32705,CLIENTE 32705,PN
33001,CLIENTE 33001,PN
33100,CLIENTE 33100,PN
33221,CLIENTE 33221,PN
33258,CLIENTE 33258,PN
33441,CLIENTE 33441,TV
33501,CLIENTE 33501,PN
33502,CLIENTE 33502,TV
33574,CLIENTE 33574,GR
33698,CLIENTE 33698,PN
33701,CLIENTE 33701,PN
33874,CLIENTE 33874,PN
33914,CLIENTE 33914,PN
33922,CLIENTE 33922,TV
33967,CLIENTE 33967,PN
33996,CLIENTE 33996,PN
33997,CLIENTE 33997,PN
34102,CLIENTE 34102,PN
34125,CLIENTE 34125,TV
34128,CLIENTE 34128,PN
34231,CLIENTE 34231,PN
34502,CLIENTE 34502,PN
34584,CLIENTE 34584,PN
34852,CLIENTE 34852,PN
35014,CLIENTE 35014,TV
35016,CLIENTE 35016,PN
35041,CLIENTE 35041,PN
35095,CLIENTE 35095,TV
35119,CLIENTE 35119,TV
35128,CLIENTE 35128,PN
35142,CLIENTE 35142,PN
35147,CLIENTE 35147,PN
35152,CLIENTE 35152,PN
35161,CLIENTE 35161,PN
35165,CLIENTE 35165,PN
35173,CLIENTE 35173,PN
35200,CLIENTE 35200,PN
35235,CLIENTE 35235,PN
35272,CLIENTE 35272,PN
35298,CLIENTE 35298,PN
35302,CLIENTE 35302,TV
35308,CLIENTE 35308,PN
35417,CLIENTE 35417,PN
35421,CLIENTE 35421,PN
35612,CLIENTE 35612,UD
35614,CLIENTE 35614,PN
35658,CLIENTE 35658,TV
35668,CLIENTE 35668,PN
35685,CLIENTE 35685,PN
35721,CLIENTE 35721,PN
35871,CLIENTE 35871,TV
35919,CLIENTE 35919,PN
35968,CLIENTE 35968,PN
35985,CLIENTE 35985,PN
36001,CLIENTE 36001,PN
36008,CLIENTE 36008,PN
36021,CLIENTE 36021,TV
36075,CLIENTE 36075,VE
36204,CLIENTE 36204,PN
36205,CLIENTE 36205,PN
36206,CLIENTE 36206,PN
36215,CLIENTE 36215,PN
36258,CLIENTE 36258,PN
36305,CLIENTE 36305,PN
36308,CLIENTE 36308,VE
36441,CLIENTE 36441,PN
36454,CLIENTE 36454,PN
36501,CLIENTE 36501,PN
36504,CLIENTE 36504,UD
36506,CLIENTE 36506,TV
36507,CLIENTE 36507,PN
36521,CLIENTE 36521,PN
36522,CLIENTE 36522,TV
36541,CLIENTE 36541,TS
36598,CLIENTE 36598,PN
36654,CLIENTE 36654,PN
36705,CLIENTE 36705,PN
36854,CLIENTE 36854,PN
36887,CLIENTE 36887,TV
36951,CLIENTE 36951,PN
36955,CLIENTE 36955,PN
37202,CLIENTE 37202,TV
37401,CLIENTE 37401,PN
37403,CLIENTE 37403,TV
37421,CLIENTE 37421,PN
37501,CLIENTE 37501,PN
37521,CLIENTE 37521,PN
37524,CLIENTE 37524,TV
37601,CLIENTE 37601,UD
37602,CLIENTE 37602,TV
37621,CLIENTE 37621,PN
37633,CLIENTE 37633,PN
38014,CLIENTE 38014,VE
38245,CLIENTE 38245,TV
38403,CLIENTE 38403,PN
38405,CLIENTE 38405,PN
38410,CLIENTE 38410,TV
38421,CLIENTE 38421,TV
38465,CLIENTE 38465,PN
38547,CLIENTE 38547,PN
38562,CLIENTE 38562,PN
38601,CLIENTE 38601,PN
38631,CLIENTE 38631,PN
38663,CLIENTE 38663,PN
38667,CLIENTE 38667,TV
38745,CLIENTE 38745,UD
38754,CLIENTE 38754,TV
38774,CLIENTE 38774,PN
39201,CLIENTE 39201,PN
39301,CLIENTE 39301,PN
39302,CLIENTE 39302,PN
39303,CLIENTE 39303,PN
39337,CLIENTE 39337,PN
39400,CLIENTE 39400,PN
39402,CLIENTE 39402,PN
39425,CLIENTE 39425,PN
39440,CLIENTE 39440,PN
39448,CLIENTE 39448,PN
39485,CLIENTE 39485,VE
39541,CLIENTE 39541,PN
39578,CLIENTE 39578,PN
39587,CLIENTE 39587,PN
39603,CLIENTE 39603,PN
39654,CLIENTE 39654,PN
39657,CLIENTE 39657,PN
39664,CLIENTE 39664,PN
39667,CLIENTE 39667,PN
39714,CLIENTE 39714,TV
39716,CLIENTE 39716,PN
39741,CLIENTE 39741,PN
39744,CLIENTE 39744,PN
39765,CLIENTE 39765,PN
39774,CLIENTE 39774,PN
39775,CLIENTE 39775,PN
39852,CLIENTE 39852,PN
39854,CLIENTE 39854,PN
39865,CLIENTE 39865,PN
39866,CLIENTE 39866,PN
39872,CLIENTE 39872,VE
39874,CLIENTE 39874,PN
39885,CLIENTE 39885,TV
39887,CLIENTE 39887,PN
40003,CLIENTE 40003,TV
40004,CLIENTE 40004,TV
40007,CLIENTE 40007,TV
40012,CLIENTE 40012,TV
40014,CLIENTE 40014,TV
40016,CLIENTE 40016,TV
40018,CLIENTE 40018,TV
40022,CLIENTE 40022,TV
40024,CLIENTE 40024,TV
40027,CLIENTE 40027,TV
40031,CLIENTE 40031,PN
40032,CLIENTE 40032,TV
40033,CLIENTE 40033,TV
40035,CLIENTE 40035,TV
40036,CLIENTE 40036,TV
40037,CLIENTE 40037,TV
40039,CLIENTE 40039,TV
40042,CLIENTE 40042,TV
40043,CLIENTE 40043,UD
40044,CLIENTE 40044,PN
40045,CLIENTE 40045,PN
40046,CLIENTE 40046,PN
40047,CLIENTE 40047,PN
40048,CLIENTE 40048,PN
40049,CLIENTE 40049,UD
40050,CLIENTE 40050,PN
40051,CLIENTE 40051,UD
40052,CLIENTE 40052,PN
40053,CLIENTE 40053,UD
40054,CLIENTE 40054,UD
40055,CLIENTE 40055,UD
40056,CLIENTE 40056,UD
40057,CLIENTE 40057,UD
40058,CLIENTE 40058,PN
40059,CLIENTE 40059,UD
40060,CLIENTE 40060,UD
40061,CLIENTE 40061,UD
40062,CLIENTE 40062,UD
40063,CLIENTE 40063,PN
40064,CLIENTE 40064,UD
40065,CLIENTE 40065,UD
40066,CLIENTE 40066,UD
40067,CLIENTE 40067,UD
40069,CLIENTE 40069,UD
40070,CLIENTE 40070,UD
40071,CLIENTE 40071,UD
40072,CLIENTE 40072,PN
40074,CLIENTE 40074,UD
40076,CLIENTE 40076,PN
40077,CLIENTE 40077,VE
40078,CLIENTE 40078,UD
40079,CLIENTE 40079,PN
40080,CLIENTE 40080,VE
40081,CLIENTE 40081,PN
40082,CLIENTE 40082,UD
40083,CLIENTE 40083,PN
40084,CLIENTE 40084,UD
40086,CLIENTE 40086,UD
40087,CLIENTE 40087,UD
40088,CLIENTE 40088,UD
40090,CLIENTE 40090,PN
40091,CLIENTE 40091,UD
40092,CLIENTE 40092,PN
40093,CLIENTE 40093,PN
40094,CLIENTE 40094,PN
40095,CLIENTE 40095,PN
40096,CLIENTE 40096,PN
40097,CLIENTE 40097,PN
40098,CLIENTE 40098,PN
40100,CLIENTE 40100,UD
40101,CLIENTE 40101,PN
40102,CLIENTE 40102,PN
40103,CLIENTE 40103,PN
40104,CLIENTE 40104,PN
40105,CLIENTE 40105,PN
40106,CLIENTE 40106,UD
40107,CLIENTE 40107,PN
40109,CLIENTE 40109,UD
40110,CLIENTE 40110,UD
40111,CLIENTE 40111,PN
40113,CLIENTE 40113,PN
40114,CLIENTE 40114,PN
40115,CLIENTE 40115,UD
40116,CLIENTE 40116,UD
40117,CLIENTE 40117,VE
40118,CLIENTE 40118,VE
40119,CLIENTE 40119,PN
40120,CLIENTE 40120,VE
40122,CLIENTE 40122,UD
40123,CLIENTE 40123,UD
40124,CLIENTE 40124,PN
40125,CLIENTE 40125,UD
40126,CLIENTE 40126,UD
40127,CLIENTE 40127,PN
40128,CLIENTE 40128,UD
40130,CLIENTE 40130,UD
40131,CLIENTE 40131,UD
40132,CLIENTE 40132,UD
40133,CLIENTE 40133,PN
40135,CLIENTE 40135,UD
40136,CLIENTE 40136,PN
40137,CLIENTE 40137,PN
40138,CLIENTE 40138,PN
40139,CLIENTE 40139,UD
40140,CLIENTE 40140,UD
40141,CLIENTE 40141,PN
40143,CLIENTE 40143,UD
40144,CLIENTE 40144,PN
40145,CLIENTE 40145,UD
40146,CLIENTE 40146,UD
40147,CLIENTE 40147,PN
40148,CLIENTE 40148,PN
40149,CLIENTE 40149,PN
40151,CLIENTE 40151,PN
40152,CLIENTE 40152,UD
40154,CLIENTE 40154,PN
40155,CLIENTE 40155,PN
40156,CLIENTE 40156,PN
40157,CLIENTE 40157,UD
40158,CLIENTE 40158,PN
100065,CLIENTE 100065,TV
100066,CLIENTE 100066,PN
100079,CLIENTE 100079,PN
100100,CLIENTE 100100,TV
100128,CLIENTE 100128,PN
100138,CLIENTE 100138,PN
100299,CLIENTE 100299,PN
100530,CLIENTE 100530,PN
100692,CLIENTE 100692,TV
100730,CLIENTE 100730,PN
100875,CLIENTE 100875,PN
100940,CLIENTE 100940,PN
101007,CLIENTE 101007,PN
101012,CLIENTE 101012,PN
101079,CLIENTE 101079,PN
101094,CLIENTE 101094,TV
101111,CLIENTE 101111,PN
101325,CLIENTE 101325,PN
101327,CLIENTE 101327,PN
101383,CLIENTE 101383,PN
101407,CLIENTE 101407,PN
101432,CLIENTE 101432,PN
101589,CLIENTE 101589,PN
101841,CLIENTE 101841,PN
101994,CLIENTE 101994,PN
102300,CLIENTE 102300,PN
102445,CLIENTE 102445,PN
102542,CLIENTE 102542,PN
103068,CLIENTE 103068,PN
105330,CLIENTE 105330,TV
106005,CLIENTE 106005,PN
200001,CLIENTE 200001,PN
400005,CLIENTE 400005,VE
400007,CLIENTE 400007,UD
400008,CLIENTE 400008,UD
400019,CLIENTE 400019,UD
400020,CLIENTE 400020,UD
400023,CLIENTE 400023,VE
400025,CLIENTE 400025,UD
400026,CLIENTE 400026,UD
400028,CLIENTE 400028,UD
400059,CLIENTE 400059,VE
400063,CLIENTE 400063,UD
400064,CLIENTE 400064,UD
400082,CLIENTE 400082,UD
400102,CLIENTE 400102,VE
400122,CLIENTE 400122,VE
400157,CLIENTE 400157,UD
400187,CLIENTE 400187,UD
400195,CLIENTE 400195,UD
400196,CLIENTE 400196,UD
400198,CLIENTE 400198,UD
400210,CLIENTE 400210,UD
400290,CLIENTE 400290,UD
400330,CLIENTE 400330,UD
400411,CLIENTE 400411,UD
400416,CLIENTE 400416,UD
400453,CLIENTE 400453,UD
400501,CLIENTE 400501,UD
400502,CLIENTE 400502,UD
400700,CLIENTE 400700,VE
400854,CLIENTE 400854,UD
400861,CLIENTE 400861,UD
400880,CLIENTE 400880,UD
400882,CLIENTE 400882,UD
400885,CLIENTE 400885,UD
400889,CLIENTE 400889,VE
400944,CLIENTE 400944,UD
400945,CLIENTE 400945,UD
401001,CLIENTE 401001,VE
401035,CLIENTE 401035,UD
401075,CLIENTE 401075,PI
401253,CLIENTE 401253,UD
401561,CLIENTE 401561,VE
402115,CLIENTE 402115,UD
403001,CLIENTE 403001,UD
403002,CLIENTE 403002,UD
403008,CLIENTE 403008,VE
403021,CLIENTE 403021,UD
403022,CLIENTE 403022,UD
403025,CLIENTE 403025,UD
403115,CLIENTE 403115,UD
404002,CLIENTE 404002,UD
404013,CLIENTE 404013,UD
404015,CLIENTE 404015,VE
404018,CLIENTE 404018,VE
404261,CLIENTE 404261,UD
405016,CLIENTE 405016,UD
406003,CLIENTE 406003,UD
406012,CLIENTE 406012,UD
406013,CLIENTE 406013,VE
406300,CLIENTE 406300,UD
407007,CLIENTE 407007,UD
407012,CLIENTE 407012,UD
407023,CLIENTE 407023,UD
407026,CLIENTE 407026,UD
407030,CLIENTE 407030,UD
407032,CLIENTE 407032,VE
408000,CLIENTE 408000,BZ
408004,CLIENTE 408004,UD
408012,CLIENTE 408012,UD
408014,CLIENTE 408014,UD
408015,CLIENTE 408015,UD
408016,CLIENTE 408016,UD
408017,CLIENTE 408017,UD
408018,CLIENTE 408018,UD
408020,CLIENTE 408020,UD
408030,CLIENTE 408030,VE
408331,CLIENTE 408331,UD
408702,CLIENTE 408702,UD
409001,CLIENTE 409001,UD
410207,CLIENTE 410207,UD
410214,CLIENTE 410214,VE
410236,CLIENTE 410236,UD
410312,CLIENTE 410312,UD
410363,CLIENTE 410363,UD
410401,CLIENTE 410401,UD
410450,CLIENTE 410450,UD
410502,CLIENTE 410502,UD
410524,CLIENTE 410524,VE
410539,CLIENTE 410539,UD
410551,CLIENTE 410551,UD
410578,CLIENTE 410578,VE
410598,CLIENTE 410598,UD
410612,CLIENTE 410612,UD
410624,CLIENTE 410624,VE
410625,CLIENTE 410625,UD
410629,CLIENTE 410629,VE
410632,CLIENTE 410632,VE
410633,CLIENTE 410633,UD
410638,CLIENTE 410638,UD
410646,CLIENTE 410646,VE
410657,CLIENTE 410657,UD
410682,CLIENTE 410682,PN
410708,CLIENTE 410708,UD
410726,CLIENTE 410726,VE
410728,CLIENTE 410728,UD
410729,CLIENTE 410729,UD
410745,CLIENTE 410745,UD
410760,CLIENTE 410760,UD
410761,CLIENTE 410761,UD
410765,CLIENTE 410765,UD
410766,CLIENTE 410766,PN
410785,CLIENTE 410785,UD
410788,CLIENTE 410788,VE
410789,CLIENTE 410789,VE
410800,CLIENTE 410800,UD
410801,CLIENTE 410801,UD
410805,CLIENTE 410805,VE
410812,CLIENTE 410812,UD
410815,CLIENTE 410815,UD
410845,CLIENTE 410845,VE
411020,CLIENTE 411020,VE
411070,CLIENTE 411070,UD
411148,CLIENTE 411148,UD
411162,CLIENTE 411162,UD
411181,CLIENTE 411181,UD
411187,CLIENTE 411187,UD
411188,CLIENTE 411188,VE
411194,CLIENTE 411194,UD
411197,CLIENTE 411197,UD
411214,CLIENTE 411214,UD
411221,CLIENTE 411221,UD
411285,CLIENTE 411285,UD
411303,CLIENTE 411303,UD
411320,CLIENTE 411320,VE
411326,CLIENTE 411326,UD
411429,CLIENTE 411429,UD
411442,CLIENTE 411442,UD
411587,CLIENTE 411587,UD
411632,CLIENTE 411632,UD
411639,CLIENTE 411639,UD
411660,CLIENTE 411660,UD
411685,CLIENTE 411685,VE
411689,CLIENTE 411689,UD
411701,CLIENTE 411701,UD
411828,CLIENTE 411828,VE
411832,CLIENTE 411832,VE
411844,CLIENTE 411844,UD
412013,CLIENTE 412013,UD
412029,CLIENTE 412029,AP
412045,CLIENTE 412045,VE
412046,CLIENTE 412046,UD
412177,CLIENTE 412177,UD
412187,CLIENTE 412187,VE
412192,CLIENTE 412192,UD
412193,CLIENTE 412193,UD
412432,CLIENTE 412432,UD
412483,CLIENTE 412483,UD
412487,CLIENTE 412487,UD
412490,CLIENTE 412490,UD
412512,CLIENTE 412512,UD
412599,CLIENTE 412599,UD
412624,CLIENTE 412624,UD
412626,CLIENTE 412626,VE
412641,CLIENTE 412641,VE
412703,CLIENTE 412703,UD
412709,CLIENTE 412709,VE
412749,CLIENTE 412749,UD
412753,CLIENTE 412753,UD
412755,CLIENTE 412755,UD
412759,CLIENTE 412759,UD
412760,CLIENTE 412760,UD
412764,CLIENTE 412764,UD
412765,CLIENTE 412765,UD
413002,CLIENTE 413002,VE
413020,CLIENTE 413020,UD
413109,CLIENTE 413109,UD
413138,CLIENTE 413138,UD
413150,CLIENTE 413150,UD
413155,CLIENTE 413155,UD
413225,CLIENTE 413225,VE
413230,CLIENTE 413230,UD
413270,CLIENTE 413270,UD
413346,CLIENTE 413346,UD
413351,CLIENTE 413351,VE
413356,CLIENTE 413356,VE
413419,CLIENTE 413419,UD
413423,CLIENTE 413423,UD
413425,CLIENTE 413425,VE
413430,CLIENTE 413430,VE
413438,CLIENTE 413438,UD
413558,CLIENTE 413558,UD
413619,CLIENTE 413619,VE
413709,CLIENTE 413709,UD
413719,CLIENTE 413719,VE
413721,CLIENTE 413721,VE
413729,CLIENTE 413729,UD
413836,CLIENTE 413836,UD
414058,CLIENTE 414058,UD
414205,CLIENTE 414205,UD
414492,CLIENTE 414492,VE
414507,CLIENTE 414507,UD
414511,CLIENTE 414511,VE
414515,CLIENTE 414515,UD
414700,CLIENTE 414700,VE
414701,CLIENTE 414701,UD
414714,CLIENTE 414714,UD
414854,CLIENTE 414854,UD
414856,CLIENTE 414856,UD
414857,CLIENTE 414857,UD
415013,CLIENTE 415013,UD
415111,CLIENTE 415111,UD
415273,CLIENTE 415273,PN
415279,CLIENTE 415279,UD
415403,CLIENTE 415403,PD
415418,CLIENTE 415418,VE
415480,CLIENTE 415480,UD
415664,CLIENTE 415664,UD
415699,CLIENTE 415699,UD
415757,CLIENTE 415757,UD
415758,CLIENTE 415758,UD
415821,CLIENTE 415821,UD
415838,CLIENTE 415838,VE
415845,CLIENTE 415845,UD
415945,CLIENTE 415945,UD
416003,CLIENTE 416003,UD
416013,CLIENTE 416013,VE
416123,CLIENTE 416123,VE
416146,CLIENTE 416146,UD
416147,CLIENTE 416147,UD
416148,CLIENTE 416148,UD
416399,CLIENTE 416399,UD
416430,CLIENTE 416430,UD
416431,CLIENTE 416431,UD
416601,CLIENTE 416601,UD
416623,CLIENTE 416623,VE
416845,CLIENTE 416845,UD
416855,CLIENTE 416855,GO
417054,CLIENTE 417054,VE
417440,CLIENTE 417440,VE
417506,CLIENTE 417506,TV
417521,CLIENTE 417521,UD
417522,CLIENTE 417522,UD
417559,CLIENTE 417559,VE
417599,CLIENTE 417599,UD
417615,CLIENTE 417615,UD
417622,CLIENTE 417622,UD
417625,CLIENTE 417625,VE
417629,CLIENTE 417629,VE
417663,CLIENTE 417663,VE
417774,CLIENTE 417774,VE
417821,CLIENTE 417821,UD
417842,CLIENTE 417842,VE
417851,CLIENTE 417851,UD
417856,CLIENTE 417856,UD
418310,CLIENTE 418310,UD
418315,CLIENTE 418315,PN
418412,CLIENTE 418412,UD
418456,CLIENTE 418456,VE
418528,CLIENTE 418528,UD
418531,CLIENTE 418531,UD
418535,CLIENTE 418535,VE
418549,CLIENTE 418549,UD
418556,CLIENTE 418556,UD
418558,CLIENTE 418558,UD
418580,CLIENTE 418580,UD
418585,CLIENTE 418585,VE
418586,CLIENTE 418586,VE
418631,CLIENTE 418631,UD
418632,CLIENTE 418632,UD
418661,CLIENTE 418661,UD
418741,CLIENTE 418741,UD
418745,CLIENTE 418745,VE
418779,CLIENTE 418779,UD
418953,CLIENTE 418953,UD
419321,CLIENTE 419321,VE
419521,CLIENTE 419521,UD
419565,CLIENTE 419565,UD
419631,CLIENTE 419631,UD
419666,CLIENTE 419666,UD
419755,CLIENTE 419755,UD
419858,CLIENTE 419858,UD
420105,CLIENTE 420105,UD
421006,CLIENTE 421006,VE
421054,CLIENTE 421054,UD
421109,CLIENTE 421109,UD
421133,CLIENTE 421133,VE
421165,CLIENTE 421165,UD
421171,CLIENTE 421171,UD
421178,CLIENTE 421178,UD
421262,CLIENTE 421262,UD
421263,CLIENTE 421263,UD
421278,CLIENTE 421278,UD
421280,CLIENTE 421280,UD
421387,CLIENTE 421387,VE
421421,CLIENTE 421421,UD
421439,CLIENTE 421439,UD
421443,CLIENTE 421443,UD
421444,CLIENTE 421444,UD
421558,CLIENTE 421558,UD
421598,CLIENTE 421598,UD
421847,CLIENTE 421847,UD
421874,CLIENTE 421874,UD
422158,CLIENTE 422158,UD
422178,CLIENTE 422178,UD
422187,CLIENTE 422187,UD
422230,CLIENTE 422230,UD
422236,CLIENTE 422236,UD
422251,CLIENTE 422251,UD
422252,CLIENTE 422252,VE
422265,CLIENTE 422265,UD
422313,CLIENTE 422313,UD
422314,CLIENTE 422314,UD
422319,CLIENTE 422319,UD
422321,CLIENTE 422321,VE
422325,CLIENTE 422325,UD
422341,CLIENTE 422341,UD
422561,CLIENTE 422561,UD
422654,CLIENTE 422654,VE
422744,CLIENTE 422744,VE
422842,CLIENTE 422842,UD
422844,CLIENTE 422844,UD
423127,CLIENTE 423127,UD
423278,CLIENTE 423278,UD
423306,CLIENTE 423306,VE
423715,CLIENTE 423715,UD
424240,CLIENTE 424240,VE
424431,CLIENTE 424431,UD
424725,CLIENTE 424725,VE
424730,CLIENTE 424730,UD
425101,CLIENTE 425101,UD
425102,CLIENTE 425102,UD
425134,CLIENTE 425134,UD
425172,CLIENTE 425172,UD
425176,CLIENTE 425176,UD
425201,CLIENTE 425201,UD
425208,CLIENTE 425208,UD
425224,CLIENTE 425224,VE
425235,CLIENTE 425235,UD
425251,CLIENTE 425251,UD
425256,CLIENTE 425256,VE
425257,CLIENTE 425257,UD
425281,CLIENTE 425281,UD
425289,CLIENTE 425289,UD
425295,CLIENTE 425295,UD
425302,CLIENTE 425302,VE
425336,CLIENTE 425336,UD
425390,CLIENTE 425390,UD
425417,CLIENTE 425417,UD
425418,CLIENTE 425418,UD
425421,CLIENTE 425421,UD
425422,CLIENTE 425422,UD
425440,CLIENTE 425440,VE
425443,CLIENTE 425443,VE
425468,CLIENTE 425468,UD
425503,CLIENTE 425503,UD
425512,CLIENTE 425512,UD
425558,CLIENTE 425558,UD
425569,CLIENTE 425569,UD
425570,CLIENTE 425570,UD
425627,CLIENTE 425627,VE
425633,CLIENTE 425633,UD
425636,CLIENTE 425636,UD
425639,CLIENTE 425639,UD
425640,CLIENTE 425640,UD
425641,CLIENTE 425641,UD
425719,CLIENTE 425719,UD
425735,CLIENTE 425735,UD
425757,CLIENTE 425757,UD
425931,CLIENTE 425931,UD
427118,CLIENTE 427118,UD
427156,CLIENTE 427156,UD
427167,CLIENTE 427167,VE
427403,CLIENTE 427403,UD
427410,CLIENTE 427410,UD
427446,CLIENTE 427446,UD
427631,CLIENTE 427631,UD
427633,CLIENTE 427633,UD
427854,CLIENTE 427854,UD
428002,CLIENTE 428002,UD
428113,CLIENTE 428113,UD
428182,CLIENTE 428182,UD
428183,CLIENTE 428183,UD
428186,CLIENTE 428186,UD
428199,CLIENTE 428199,UD
428202,CLIENTE 428202,UD
428282,CLIENTE 428282,VE
428290,CLIENTE 428290,UD
428427,CLIENTE 428427,TV
428431,CLIENTE 428431,UD
428479,CLIENTE 428479,VE
428485,CLIENTE 428485,VE
428491,CLIENTE 428491,VE
428492,CLIENTE 428492,VE
428498,CLIENTE 428498,VE
428554,CLIENTE 428554,UD
428663,CLIENTE 428663,UD
428674,CLIENTE 428674,UD
428698,CLIENTE 428698,UD
428718,CLIENTE 428718,UD
428730,CLIENTE 428730,UD
428732,CLIENTE 428732,UD
428743,CLIENTE 428743,UD
428755,CLIENTE 428755,UD
428764,CLIENTE 428764,UD
429137,CLIENTE 429137,UD
429387,CLIENTE 429387,UD
429599,CLIENTE 429599,UD
429629,CLIENTE 429629,UD
429641,CLIENTE 429641,UD
429642,CLIENTE 429642,UD
429650,CLIENTE 429650,VE
429651,CLIENTE 429651,UD
429710,CLIENTE 429710,UD
429712,CLIENTE 429712,UD
429731,CLIENTE 429731,UD
429748,CLIENTE 429748,UD
429754,CLIENTE 429754,UD
429770,CLIENTE 429770,UD
430002,CLIENTE 430002,VE
430003,CLIENTE 430003,UD
430013,CLIENTE 430013,UD
430014,CLIENTE 430014,UD
430092,CLIENTE 430092,VE
430119,CLIENTE 430119,UD
430250,CLIENTE 430250,UD
430262,CLIENTE 430262,UD
430413,CLIENTE 430413,VE
430417,CLIENTE 430417,VE
430432,CLIENTE 430432,UD
430756,CLIENTE 430756,UD
430836,CLIENTE 430836,VE
430840,CLIENTE 430840,UD
431005,CLIENTE 431005,VE
431108,CLIENTE 431108,UD
431120,CLIENTE 431120,UD
431125,CLIENTE 431125,UD
431265,CLIENTE 431265,UD
432091,CLIENTE 432091,UD
432093,CLIENTE 432093,UD
432094,CLIENTE 432094,VE
432098,CLIENTE 432098,UD
432101,CLIENTE 432101,UD
432105,CLIENTE 432105,UD
432205,CLIENTE 432205,UD
432208,CLIENTE 432208,UD
432250,CLIENTE 432250,VE
433104,CLIENTE 433104,UD
435092,CLIENTE 435092,UD
435093,CLIENTE 435093,VE
435097,CLIENTE 435097,UD
435131,CLIENTE 435131,UD
435146,CLIENTE 435146,UD
435149,CLIENTE 435149,UD
435154,CLIENTE 435154,UD
435265,CLIENTE 435265,UD
435608,CLIENTE 435608,UD
435614,CLIENTE 435614,UD
435841,CLIENTE 435841,VE
435852,CLIENTE 435852,UD
441255,CLIENTE 441255,UD
441871,CLIENTE 441871,VE
450002,CLIENTE 450002,UD
451008,CLIENTE 451008,VE
451134,CLIENTE 451134,UD
452012,CLIENTE 452012,UD
452061,CLIENTE 452061,UD
452142,CLIENTE 452142,UD
452143,CLIENTE 452143,VE
452144,CLIENTE 452144,UD
456120,CLIENTE 456120,UD
463087,CLIENTE 463087,UD
463092,CLIENTE 463092,VE
463093,CLIENTE 463093,UD
463095,CLIENTE 463095,VE
463099,CLIENTE 463099,UD
463100,CLIENTE 463100,UD
463101,CLIENTE 463101,UD
463104,CLIENTE 463104,VE
463110,CLIENTE 463110,UD
463111,CLIENTE 463111,UD
463113,CLIENTE 463113,UD
463114,CLIENTE 463114,UD
463115,CLIENTE 463115,UD
463116,CLIENTE 463116,UD
463117,CLIENTE 463117,UD
463119,CLIENTE 463119,VE
463120,CLIENTE 463120,VE
463121,CLIENTE 463121,UD
463123,CLIENTE 463123,UD
